Time,Acc,Prs
3.08,516,716
3.085,516,716
3.09,516,716
3.095,516,716
3.1,516,716
3.105,516,716
3.11,516,716
3.115,515,715
3.12,516,716
3.125,516,715
3.13,516,715
3.135,515,715
3.14,515,715
3.145,516,715
3.15,516,715
3.155,515,715
3.16,516,715
3.165,516,715
3.17,516,715
3.175,515,715
3.18,516,715
3.185,516,715
3.19,516,715
3.195,516,715
3.2,516,715
3.205,516,715
3.21,515,715
3.215,516,715
3.22,516,715
3.225,517,715
3.23,516,714
3.235,516,715
3.24,516,715
3.245,515,715
3.25,516,715
3.255,515,715
3.26,516,714
3.265,515,714
3.27,516,714
3.275,516,715
3.28,516,715
3.285,516,714
3.29,516,714
3.295,516,714
3.3,515,714
3.305,515,714
3.31,515,714
3.315,515,714
3.32,516,714
3.325,516,714
3.33,515,714
3.335,516,714
3.34,516,714
3.345,515,714
3.35,515,714
3.355,515,713
3.36,516,714
3.365,515,714
3.37,515,713
3.375,515,713
3.38,516,714
3.385,515,713
3.39,515,714
3.395,515,713
3.4,516,713
3.405,516,714
3.41,515,713
3.415,515,713
3.42,515,713
3.425,516,713
3.43,515,713
3.435,516,713
3.44,515,713
3.445,515,713
3.45,515,713
3.455,515,713
3.46,515,713
3.465,515,713
3.47,515,713
3.475,516,712
3.48,516,713
3.485,515,713
3.49,515,712
3.495,515,712
3.5,515,713
3.505,515,712
3.51,515,713
3.515,515,713
3.52,516,712
3.525,515,712
3.53,515,712
3.535,515,713
3.54,515,712
3.545,515,712
3.55,515,712
3.555,516,712
3.56,515,712
3.565,515,712
3.57,515,712
3.575,515,711
3.58,515,712
3.585,516,712
3.59,515,712
3.595,516,712
3.6,515,711
3.605,515,712
3.61,515,711
3.615,516,711
3.62,515,711
3.625,515,711
3.63,515,711
3.635,515,711
3.64,515,711
3.645,515,712
3.65,515,711
3.655,515,711
3.66,515,711
3.665,515,711
3.67,516,711
3.675,516,711
3.68,515,711
3.685,515,711
3.69,515,711
3.695,515,711
3.7,515,711
3.705,515,711
3.71,515,711
3.715,515,711
3.72,515,711
3.725,515,711
3.73,515,711
3.735,515,711
3.74,515,711
3.745,514,711
3.75,515,711
3.755,515,710
3.76,516,711
3.765,515,711
3.77,515,710
3.775,515,710
3.78,515,710
3.785,514,710
3.79,515,710
3.795,515,710
3.8,516,710
3.805,515,710
3.81,515,710
3.815,515,710
3.82,515,710
3.825,515,710
3.83,515,710
3.835,515,710
3.84,515,710
3.845,515,710
3.85,515,710
3.855,516,710
3.86,515,710
3.865,515,710
3.87,515,709
3.875,515,710
3.88,515,710
3.885,515,709
3.89,515,709
3.895,514,709
3.9,515,709
3.905,515,709
3.91,516,709
3.915,514,709
3.92,515,709
3.925,515,709
3.93,514,709
3.935,515,709
3.94,514,709
3.945,515,709
3.95,515,709
3.955,515,709
3.96,515,709
3.965,515,709
3.97,514,709
3.975,515,709
3.98,514,709
3.985,515,709
3.99,515,708
3.995,515,709
4,515,708
4.005,514,709
4.01,515,708
4.015,515,708
4.02,515,708
4.025,515,708
4.03,515,708
4.035,515,708
4.04,515,708
4.045,515,708
4.05,515,708
4.055,515,708
4.06,515,708
4.065,515,708
4.07,515,708
4.075,514,708
4.08,515,708
4.085,516,708
4.09,515,708
4.095,515,708
4.1,514,708
4.105,515,708
4.11,515,708
4.115,515,708
4.12,514,708
4.125,515,708
4.13,515,707
4.135,515,708
4.14,515,708
4.145,515,707
4.15,514,707
4.155,515,708
4.16,515,707
4.165,515,707
4.17,515,707
4.175,514,707
4.18,515,707
4.185,515,707
4.19,515,707
4.195,515,707
4.2,515,707
4.205,515,707
4.21,515,707
4.215,516,707
4.22,516,707
4.225,515,707
4.23,514,707
4.235,515,707
4.24,515,707
4.245,514,707
4.25,515,707
4.255,515,707
4.26,515,707
4.265,515,707
4.27,515,707
4.275,515,707
4.28,515,707
4.285,515,706
4.29,515,707
4.295,515,706
4.3,515,706
4.305,515,706
4.31,515,707
4.315,515,706
4.32,515,706
4.325,514,706
4.33,515,706
4.335,515,706
4.34,514,706
4.345,515,706
4.35,515,706
4.355,514,706
4.36,514,706
4.365,515,706
4.37,514,706
4.375,514,706
4.38,514,706
4.385,515,706
4.39,514,706
4.395,515,706
4.4,515,706
4.405,514,706
4.41,514,706
4.415,515,706
4.42,515,706
4.425,515,706
4.43,515,706
4.435,515,706
4.44,515,705
4.445,515,706
4.45,515,705
4.455,515,705
4.46,514,705
4.465,514,705
4.47,514,705
4.475,515,705
4.48,515,705
4.485,515,705
4.49,514,705
4.495,514,705
4.5,515,705
4.505,514,705
4.51,514,705
4.515,514,704
4.52,514,705
4.525,514,705
4.53,514,705
4.535,514,705
4.54,514,705
4.545,514,705
4.55,514,705
4.555,514,704
4.56,514,705
4.565,514,704
4.57,515,705
4.575,514,705
4.58,514,704
4.585,514,705
4.59,514,704
4.595,514,704
4.6,515,704
4.605,515,704
4.61,515,705
4.615,515,704
4.62,515,704
4.625,514,704
4.63,514,704
4.635,514,704
4.64,515,704
4.645,514,704
4.65,515,704
4.655,515,704
4.66,515,704
4.665,515,704
4.67,514,704
4.675,515,704
4.68,514,704
4.685,514,704
4.69,514,704
4.695,515,703
4.7,515,704
4.705,514,704
4.71,514,704
4.715,515,704
4.72,514,703
4.725,514,704
4.73,514,703
4.735,515,703
4.74,515,704
4.745,515,704
4.75,515,704
4.755,514,703
4.76,514,703
4.765,515,703
4.77,514,703
4.775,515,703
4.78,515,703
4.785,514,703
4.79,514,703
4.795,514,703
4.8,515,703
4.805,514,703
4.81,514,703
4.815,514,703
4.82,514,703
4.825,514,703
4.83,515,703
4.835,514,703
4.84,514,703
4.845,514,703
4.85,514,703
4.855,514,702
4.86,514,703
4.865,514,703
4.87,514,703
4.875,514,703
4.88,514,702
4.885,514,702
4.89,514,703
4.895,514,703
4.9,514,703
4.905,514,703
4.91,514,702
4.915,514,702
4.92,515,702
4.925,514,702
4.93,515,702
4.935,514,703
4.94,514,702
4.945,514,702
4.95,515,702
4.955,515,702
4.96,514,702
4.965,514,702
4.97,514,702
4.975,514,702
4.98,514,702
4.985,514,702
4.99,514,702
4.995,514,702
5,514,702
5.005,515,702
5.01,514,702
5.015,515,702
5.02,514,702
5.025,514,702
5.03,514,702
5.035,514,702
5.04,514,701
5.045,514,702
5.05,514,702
5.055,514,702
5.06,514,701
5.065,514,701
5.07,514,701
5.075,514,701
5.08,514,701
5.085,514,701
5.09,514,702
5.095,515,701
5.1,514,701
5.105,514,701
5.11,514,701
5.115,514,701
5.12,513,701
5.125,514,701
5.13,513,701
5.135,514,701
5.14,513,701
5.145,514,701
5.15,514,701
5.155,514,701
5.16,513,701
5.165,514,701
5.17,514,701
5.175,514,701
5.18,514,701
5.185,514,701
5.19,514,701
5.195,514,701
5.2,514,701
5.205,514,701
